出現形	正解	予測
顎変形症術後顎変形症	顎変形症	顎変形症
ＤＭＮ　２期	糖尿病	糖尿病
労作時胸部絞扼感	胸内苦悶	胸部不快感
右膝変形	変形性膝関節症	膝関節症
指趾潰瘍	趾皮膚潰瘍	趾皮膚潰瘍
２型食道癌	食道癌	食道癌
骨性腫瘤	腫瘤	骨腫瘤
外傷性脊髄損傷	脊髄損傷	脊髄損傷
下肢結節性紅斑	結節性紅斑	結節性紅斑
左動眼神経麻痺	動眼神経麻痺	動眼神経麻痺
家族性海綿状血管腫	海綿状血管腫	海綿状血管腫
術中直腸損傷	直腸損傷	直腸損傷
下肢動脈瘤	下肢の動脈瘤	動脈瘤
精神病様症状	精神病	精神病
項頸部痛	頚部痛	頚部痛
頸部白斑	白斑	白斑
左大腿骨転子部粉砕骨折	転子下骨折	大腿骨転子部骨折
最近眠気	非器質性過眠症	嘔気
ＶＨＤ	心臓弁膜症	心臓弁膜症
夜頻尿	夜間頻尿症	夜尿症
回盲部炎	回盲部憩室炎	大腸炎
重症肺血栓塞栓症	肺塞栓症	肺血栓塞栓症
左歯痛	歯痛	歯痛
腹膜播種切除	腹膜播種	腹膜播種
右乳突蜂巣	乳様突起炎	乳様突起炎
右肺尖部気胸	気胸	膿胸
骨盤内子宮内膜症	子宮内膜症	子宮内膜症
左頬部痛	頬部痛	頬部痛
局麻薬アレルギー	薬物過敏症	アレルギー
肺クリプトコックス症	急性肺クリプトコッカス症	
右肩関節亜脱臼半横指	肩関節亜脱臼	肩関節亜脱臼
慢性蕁麻疹	慢性じんま疹	慢性じんま疹
マラセチア毛嚢炎	マラセチア毛包炎	マラセチア毛包炎
高分化型漿液性腺癌	癌	卵巣膿瘍
腫瘍床	腫瘍	腫瘍
左膀胱尿管逆流症	膀胱尿管逆流	膀胱尿管逆流
外側疼痛	疼痛	疼痛
卵巣癌再発卵巣癌	卵巣癌	卵巣癌
錐体路病変	錐体外路系疾患	錐体路障害
リンパ球性白血病	リンパ性白血病	リンパ球異常
クラミジア感染	クラミジア感染症	クラミジア感染症
奬液性嚢胞腺腫	膵漿液性のう胞腺腫	浮腫
夜間倦怠感	倦怠感	倦怠感
脳血栓塞栓症	脳血管閉塞性脳梗塞	脳血栓症
左リウマチ性肘関節症	関節リウマチ・膝関節	リウマチ性筋炎
右下腿潰瘍感染	下腿皮膚潰瘍	肝炎
気分不快時	悪心	悪心
問題なし前立腺肥大	前立腺肥大症	前立腺肥大症
急性パルボウイルスＢ１９感染症	パルボウイルス感染症	パルボウイルス感染症
脂肪性腫瘤	脂肪腫	腫瘤
ウィルス性肺炎	肺炎	ウイルス性肺炎
類円形紅斑	紅斑症	紅斑症
書字不能	書痙	書痙
肺動脈狭窄	肺動脈狭窄症	肺動脈狭窄症
夜間不眠状態	不眠症	不眠症
熱型	発熱	発熱
骨盤内充実性腫瘍	骨盤腫瘍	骨盤内腫瘤
夢遊病	夢遊症	夢遊症
脊髄小脳変性症６型	脊髄小脳変性症	脊髄小脳変性症
左内頚動脈閉塞	内頚動脈閉塞症	内頚動脈閉塞症
両側角乾燥性結膜炎	結膜炎	角膜炎
脳虚血症状	脳虚血症	脳虚血症
微熱持続	微熱	微熱
夕方浮腫	浮腫	浮腫
眼性疲労	眼精疲労	疲労感
直腸肛門奇形	鎖肛	直腸炎
右大腿部腫瘍	大腿悪性軟部腫瘍	腫瘍
頚椎症神経根症	頚椎症性神経根症	頚椎症
壊死性遊走性紅斑	遊走性紅斑	遊走性紅斑
睡眠障害招くリスク	睡眠障害	睡眠障害
上大静脈血栓	静脈血栓症	静脈血栓症
骨盤内ＬＮ転移	骨盤内リンパ節転移	骨盤内リンパ節転移
ＰＫＤ	多発性のう胞腎	腎不全
分水嶺脳梗塞	脳梗塞	脳梗塞
上皮性腫瘍	腫瘤	上皮腫
大球性正色素貧血	大球性貧血	大球性貧血
挙上空腸穿孔	腸穿孔	腸穿孔
腸管アメーバ感染症	腸アメーバ症	アメーバ症
放射線性皮膚炎	放射線皮膚炎	放射線皮膚炎
肛門周囲びらん	外痔びらん	肛門そう痒症
髄膜炎徴候	髄膜炎	髄膜炎
胸部不快	胸内苦悶	胸内苦悶
下葉肺炎	肺炎	肺炎
右足根部粉砕骨折	粉砕骨折	
蛋白漏出胃腸症	蛋白漏出性胃腸症	蛋白漏出性胃腸症
左大脳陳旧性ラクナ梗塞	陳旧性ラクナ梗塞	陳旧性ラクナ梗塞
出血多量	急性大量出血	出血
腹水多量	腹水症	腹水症
腸間膜リンパ管腫	リンパ管腫	腸間膜リンパ節転移
右卵巣悪性腫瘍	卵巣悪性腫瘍	卵巣悪性腫瘍
糖尿病（２型）	２型糖尿病	糖尿
化膿性胸鎖関節炎	化膿性関節炎・胸鎖関節	胸鎖関節炎
右乳腺線維腫症	線維腫	乳腺線維腫
肺野鬱血像	肺野異常陰影	胸部腫瘤
児嘔気	嘔気	嘔気
尿閉歴	尿閉	尿閉
陰嚢びらん	陰のうびらん	陰のうびらん
精神的ショック	ショック	
右上腕骨外側上顆炎	外側上顆炎	上腕骨腫瘍
子宮頚上皮内癌	子宮頚部上皮内癌	上皮内癌
難治性非定型性抗酸菌症	非結核性抗酸菌症	非定型肺炎
軽度腹水	腹水症	腹水症
湿疹様	湿疹	湿疹
大後頭孔狭窄	軟骨形成不全症	大動脈狭窄症
熱型変化	発熱	発熱
右無機能腎	無機能腎	無機能腎
月経痛コントロール不十分	月経痛	月経痛
左鎖骨下動脈閉塞	鎖骨下動脈閉塞症	鎖骨下動脈閉塞症
右ＤＶＴ	深部静脈血栓症	静脈炎
非特異的胸痛	胸痛	胸痛
Ａｅｒｏｍｏｎａｓ　ｈｙｄｒｏｐｈｉｌａ敗血症	敗血症	
重症細菌性敗血症	敗血症	重症感染症
逆行性健忘	逆向性健忘	
腹直筋膜下血腫	筋肉内血腫	脳出血
関連腎臓病	腎疾患	腎疾患
認知症様症状	認知症	認知症
顎骨骨折	下顎骨骨折	骨折
高度大動脈弁狭窄	大動脈弁狭窄症	大動脈弁狭窄症
右顔面骨骨折	顔面骨骨折	顔面骨骨折
炎症性粉瘤	粉瘤	粉瘤
左腰部疼痛	腰痛症	腰痛症
ＨＣＶ重複感染症	Ｃ型肝炎ウイルス感染	重複癌
脂質異常症（＋）	脂質異常症	脂質異常症
上腹部圧痛	腹部圧痛	圧痛
両側椎骨動脈瘤	椎骨動脈瘤	椎骨動脈瘤
非ケトン性高血糖	高血糖高浸透圧症候群	
Ｙｅｒｓｉｎｉａ腸炎	エルシニア腸炎	エルシニア腸炎
声帯浮腫	声帯炎	声帯炎
誤嚥性肺炎併発	誤嚥性肺炎	誤嚥性肺炎
咳嗽持続	咳	咳
左側下顎骨嚢胞	顎骨のう胞	下顎骨腫瘍
右末梢前庭障害	末梢前庭障害	末梢前庭障害
胆管閉鎖症	胆管閉塞症	胆管閉塞症
閉塞性動脈硬化症　症状	閉塞性動脈硬化症	閉塞性動脈硬化症
洞不全	洞不全症候群	腎不全
特発性リンパ浮腫	リンパ浮腫	リンパ浮腫
シャント吻合部狭窄	透析シャント狭窄	
無気力	無力症	無力症
胸骨炎	胸骨周囲炎	胸骨周囲炎
ナッツアレルギー	ピーナッツアレルギー	
甲状腺乳頭癌術後再発	甲状腺乳頭癌	甲状腺乳頭癌
上肢疼痛	疼痛	上肢痛
Ｔｕｒｎｅｒ症候群	ターナー症候群	ターナー症候群
肝臓機能障害用	肝機能障害	肝機能障害
左心不全徴候	心不全	左心不全
ＩＰＭＮ癌化	膵管内乳頭粘液性腺癌	癌
後発頚部転移	頚部転移性腫瘍	子宮頚癌
下痢治	下痢症	下痢症
朝方疼痛	疼痛	疼痛
蜂窩肺形成	蜂窩織炎	蜂窩織炎
右ＩＣＡ高度狭窄	内頚動脈狭窄症	内頚動脈狭窄症
膵体部嚢胞	膵のう胞	膵体部癌
右気管支狭窄	気管支狭窄症	気管支狭窄症
非ヘルペス性辺縁系脳炎	辺縁系脳炎	辺縁系脳炎
無症候性ＶＴ	心室頻拍	心室頻拍
好酸球増多	好酸球増加症	好酸球増加症
口腔清掃	個人衛生の著しいレベル低下	痂皮
両下腿皮膚潰瘍	下腿皮膚潰瘍	皮膚潰瘍
無石性胆嚢炎	胆のう炎	胆管炎
ｓ型ポリープ	ポリープ	ポリープ
時折頭痛	頭痛	頭痛
関節リウマチ発症	関節リウマチ	関節リウマチ
残像腫瘍	腫瘍	腫瘍
両顎下腺腫大	顎下腺肥大	顎下腺肥大
夜間中途覚醒時	睡眠障害	睡眠障害
今朝頭痛	頭痛	頭痛
眼球偏移	眼球偏位	眼球偏位
腹腔内癒着高度	腹膜癒着	腸狭窄
右母指多指症	多指症	多指症
薬剤性骨髄抑制	骨髄機能低下	骨髄機能低下
肥満	肥満症	肥満症
網膜中心動脈閉塞	網膜中心動脈閉塞症	網膜中心動脈閉塞症
中枢神経悪性リンパ腫再発	悪性リンパ腫	上下肢リンパ浮腫
旅行者下痢症	下痢症	下痢症
右声帯ポリープ	声帯ポリープ	声帯ポリープ
非Ｂ非Ｃ型肝硬変	肝硬変症	Ｃ型肝硬変
頭部皮下結節	皮下結節	頭部皮下腫瘍
足がむくみ	下肢浮腫	浮腫
下肢潰瘍	下肢皮膚潰瘍	腸潰瘍
難治性胸腹水	難治性腹水	難治性腹水
幻覚症状	幻覚	幻覚
異常腫瘤	腫瘤	腫瘤
未破裂脳動脈瘤コイル塞栓	未破裂脳動脈瘤	未破裂脳動脈瘤
左下顎骨慢性骨髄炎	慢性顎骨骨髄炎	下顎骨骨髄炎
左側頭葉膠芽腫	側頭葉膠芽腫	側頭葉膠芽腫
脳血管障害性パーキンソニズム	脳血管障害性パーキンソン症候群	脳血管障害性パーキンソン症候群
右後角脳室内出血	脳室内出血	脳室内出血
難治性浮腫	高度浮腫	浮腫
Ｇｒａｎｕｌｏｍａｔｏｓｉｓ　ｗｉｔｈ　ｐｏｌｙａｎｇｉｉｔｉｓ	多発血管炎性肉芽腫症	
再発脊索腫	脊索腫	脊索腫
Ｃ型肝硬変症	Ｃ型肝硬変	Ｃ型肝硬変
左踵部悪性黒色腫	踵部悪性黒色腫	踵部悪性黒色腫
未分化癌	癌	肺癌
両側副腎悪性リンパ腫	悪性リンパ腫	副腎腺腫
帯状疱疹無	帯状疱疹	帯状疱疹
左膝痛み	膝関節痛	膝関節痛
右下腿痛	下腿痛	下腿痛
気管支喘息症状	気管支喘息	気管支喘息
大腿骨内顆骨壊死	特発性大腿骨内顆骨壊死	
炎症性貧血	貧血	貧血
両下肢掻痒感	皮膚そう痒症	皮膚そう痒症
右後頭葉脳挫傷	脳挫傷	血管損傷
女性化乳房	女性化乳房症	女性化乳房症
ｍａｓｓ　ｌｅｓｉｏｎ	腫瘤	悪心
右大脳半球多発脳梗塞	多発性脳梗塞	多発性脳梗塞
大動脈弁膜症	大動脈弁弁膜症	大動脈弁疾患
鎮静困難	興奮状態	興奮状態
再発腫瘤近傍	腫瘤	腫瘤
右下腿麻痺	下肢麻痺	片麻痺
切除不能多発性肝転移	転移性肝腫瘍	転移性肝癌
腹腔内膿瘍形成	膿瘍	腹腔内膿瘍
発作性上室性頻拍	発作性上室頻拍	発作性上室頻拍
筋肉痛生	筋肉痛	筋肉痛
腰椎滑り症	腰椎すべり症	腰椎すべり症
淡血性胸水	血性胸水	出血
腎被膜下出血	外傷性腎被膜下血腫	腎出血
仙骨部褥瘡痕	仙骨部褥瘡	仙骨部褥瘡
左肝腫瘍	肝腫瘍	肝腫瘍
非Ｃｌｏｓｔｒｉｄｉｕｍ性ガス壊疽	ガス壊疽	
リンパ腺腫脹	リンパ節腫大	リンパ節腫大
心室二段脈	心室性二段脈	心室性二段脈
鼻腔腫瘍摘出	鼻腔腫瘍	鼻腔腫瘍
疼痛時頓用	疼痛	疼痛
多房性膿瘍	膿瘍	腫瘍
右耳介後部痛	耳痛症	耳痛症
左胸壁腫瘍切除	胸壁腫瘍	胸壁腫瘍
無呼吸症候群	無呼吸発作	無呼吸発作
右尿管癌	尿管癌	尿管癌
出血過多	出血	出血
甲状腺嚢腫	甲状腺のう胞	甲状腺のう胞
両側浸出性中耳炎	滲出性中耳炎	中耳炎
覚醒度	麻酔覚醒遅延	咳
高血糖	高血糖症	高血糖症
有意弁膜症	弁膜炎	動脈炎
胸痛無	胸痛	胸痛
右下肺野無気肺	無気肺	下葉無気肺
小脳性失調	小脳性運動失調症	小脳変性症
好酸球増多症	好酸球増加症	好酸球増加症
右腎明細胞肉腫	腎明細胞肉腫	腎明細胞肉腫
甲状腺左葉濾胞腺腫	濾胞性甲状腺腺腫	甲状腺腫
下位運動ニューロン徴候	運動ニューロン疾患	運動ニューロン疾患
主幹動脈狭窄	脳動脈狭窄症	血栓塞栓症
創部皮下血腫	外傷性皮下血腫	皮下血腫
掻痒感軽減	そう痒	そう痒
両肺小結節影	肺野異常陰影	胸部異常陰影
造影剤アレルギー歴	薬物過敏症	薬物過敏症
左眼鼻涙管閉塞症	鼻涙管閉鎖症	鼻涙管閉鎖症
慢性的な抑うつ気分	うつ状態	
鼻部異物肉芽腫	皮膚異物肉芽腫	皮膚異物肉芽腫
遠隔ＬＮ転移	リンパ節転移	リンパ節転移
子宮がん	子宮癌	子宮癌
Ｂｉｃｋｅｒｓｔａｆｆ型脳幹脳炎	ビッカースタッフ脳幹脳炎	
睾丸腫脹	精巣腫脹	精巣腫脹
右中皮腫	中皮腫	中皮腫
ジベル薔薇色粃糠疹	ジベルばら色粃糠疹	
脳実質外腫瘍	腫瘍	脳腫瘍
抑鬱感	気うつ	気うつ
扁桃腺腫大	扁桃肥大	扁桃肥大
口内出血	口腔出血	口腔出血
右上方視野欠損	視野欠損	視野欠損
両側臼蓋形成不全症	臼蓋形成不全	臼蓋形成不全
進行肝癌	肝癌	肝癌
噴門部狭窄	胃狭窄	狭心症
突発性腎出血	腎出血	腎出血
前股関節症	股関節症	股関節症
多発肝嚢胞	多発性肝のう胞	肝のう胞
過換気状態	過換気症	過換気症
傍大動脈ＬＮ	大動脈周囲リンパ節転移	大動脈炎症候群
左椎骨動脈低形成	骨髄低形成	椎骨動脈瘤
左房拡張	心拡大	左心不全
サルモネラ菌感染症	サルモネラ感染症	サルモネラ感染症
両側性多発性嚢胞腎	多発性のう胞腎	多発性のう胞腎
化学物質アレルギー	アレルギー	化学物質過敏症
右手指腫脹	手指腫脹	手指腫脹
右足背発赤	発赤	発赤
脊柱管高度狭窄	脊柱管狭窄症	脊柱管狭窄症
右急性網膜壊死	急性網膜壊死	急性網膜壊死
皮膚硬化がまだかなり	新生児皮膚硬化症	
口腔内乾燥軽度	口腔乾燥症	乾皮症
下肢筋痛	下肢筋肉痛	下肢筋肉痛
蠕動不良	異常腸音	腸音欠如
四肢腱反射亢進	反射亢進	反射亢進
黒色丘疹	丘疹	丘疹
胸部陰影	胸部異常陰影	胸部腫瘤
クモ膜下嚢胞	くも膜のう胞	くも膜のう胞
２次性糖尿病	二次性糖尿病	糖尿病
Ｈａｅｍｏｐｈｉｌｕｓ　ｉｎｆｌｕｅｎｚａｅ敗血症	敗血症	
慢性期疼痛	慢性疼痛	疼痛
右上葉原発肺小細胞癌	小細胞肺癌	小細胞肺癌
出血源不詳	出血	出血
一般細菌感染	細菌感染症	喀痰
急性小脳失調症	急性小脳性失調症	急性小脳性失調症
浸潤癌化所見	癌	強皮症
痔核脱出	痔核	痔核
重症膵炎	膵炎	膵炎
痛みアリ	疼痛	疼痛
左心室内血栓症	心室内血栓症	心室内血栓症
右足疼痛	疼痛	疼痛
増殖前網膜症	網膜症	網膜症
傍神経節腫瘍	傍神経節腫	傍神経節腫
小腸膀胱瘻	膀胱皮膚瘻	膀胱皮膚瘻
左小細胞肺癌	小細胞肺癌	小細胞肺癌
少量左胸水	胸水貯留	胸水貯留
多発ＨＣＣ再発	肝細胞癌	肝細胞癌
結核性嚢腫	結核	結核腫
右大腿骨外顆骨折	大腿骨外顆骨折	骨折
巨大膵仮性嚢胞	仮性膵のう胞	膵のう胞
大腿腫脹	下腿腫脹	大腿部腫脹
全身性ＣＭＶ感染症	サイトメガロウイルス感染症	胃炎
多発肝内転移	転移性肝腫瘍	肝癌
右外耳道炎	外耳炎	外耳炎
両下肢圧痕性浮腫	クインケ浮腫	クインケ浮腫
下部腸間膜動脈出血	動脈性出血	腸間膜動脈塞栓症
ＩｇＭ型Ｍ蛋白	単クローン性免疫グロブリン血症	
喘息発作様症状	気管支喘息発作	咳喘息
分食道癌	食道癌	食道癌
多少便秘気味	便秘症	便秘症
ポリープ状病変	ポリープ	ポリープ
既往高血圧	高血圧症	高血圧症
右リウマチ性膝関節症	関節リウマチ・膝関節	リウマチ性筋炎
急性骨髄性白血病（ＡＭＬ）	急性骨髄性白血病	急性骨髄性白血病
腹水大量	腹水症	腹水症
全身皮膚発赤	発赤	皮膚炎
多発肺嚢胞	肺のう胞	肺のう胞
右小脳橋角部腫瘍	小脳橋角部腫瘍	小脳橋角部腫瘍
右眼網膜静脈分枝閉塞症	網膜静脈分枝閉塞症	網膜静脈分枝閉塞症
右脛骨腓骨開放骨折	脛骨腓骨開放骨折	脛骨腓骨開放骨折
左側卵巣腫瘍	卵巣腫瘍	卵巣腫瘍
口腔内びらん	口唇びらん	
紅斑熱群リケッチア症	リケッチア感染症	リケッチア感染症
ＩＴＰ	特発性血小板減少性紫斑病	膵癌
気管支喘息小発作	気管支喘息発作	気管支喘息発作
解離性動脈瘤破裂	解離性動脈瘤	解離性動脈瘤
左眼窩内腫瘍	眼窩腫瘍	眼窩腫瘍
肺外小細胞癌	小細胞肺癌	肺大細胞癌
高度大動脈弁狭窄症	大動脈弁狭窄症	大動脈弁狭窄症
ｂｒｅａｋｔｈｒｏｕｇｈ　ｈｅｐａｔｉｔｉｓ	肝炎	
左室圧排	右室肥大	左室肥大
両側声帯外転障害	声帯外転筋麻痺	声帯外転筋麻痺
一部水疱形成	水疱症	水疱症
糖尿病潰瘍	糖尿病性潰瘍	糖尿病
飲みこみにくさ	嚥下障害	嚥下障害
左腎低形成	低形成腎	低形成腎
左母趾疼痛	母趾痛	母趾痛
副腎ヒストプラズマ感染症	真菌症	
右眼糖尿病網膜症	糖尿病網膜症	糖尿病網膜症
下肢浮腫左	下肢浮腫	下肢浮腫
両松葉杖歩行	歩行障害	
冠動脈狭窄３枝病変	狭心症３枝病変	
遺伝性低尿酸血症	低尿酸血症	低尿酸血症
低アルドステロン血症	低アルドステロン症	低アルドステロン症
小腸皮膚瘻	皮膚瘻	小腸瘻
重度僧帽弁狭窄症	僧帽弁狭窄症	僧帽弁狭窄症
非細菌性血栓性疣贅	疣贅	
特発性腸間膜血腫	血腫	腸間膜のう腫
脳原発性悪性リンパ腫	脳悪性リンパ腫	脳悪性リンパ腫
抜管後両側反回神経麻痺	両側性反回神経麻痺	反回神経麻痺
肝骨転移	骨転移癌	肝癌
乳腺線維腫症	線維腫	乳腺線維腫
術後左反回神経麻痺	反回神経麻痺	術後性反回神経麻痺
無症候性髄膜腫	髄膜腫	多発性髄膜腫
左肺下葉肺癌	下葉肺癌	下葉肺癌
アルコール離脱症候群	アルコール離脱状態	アルコール離脱状態
左腸骨骨肉腫	腸骨軟骨肉腫	骨肉腫
脳梁低形成	脳梁形成不全	脳梁形成不全
表皮内水疱形成	先天性表皮水疱症	胆管先天奇形
後頚部圧痛	圧痛	骨痛
不定愁訴様	不定愁訴症	不定愁訴症
良性胆道狭窄	胆管狭窄症	胆道疾患
左下葉非小細胞肺癌	下葉非小細胞肺癌	非小細胞肺癌
ＣＫＤ　腎硬化症	腎硬化症	腎不全
前頭葉出血	出血	出血
有茎性乳頭状腫瘍	腫瘍	
理解困難	言語理解障害	軽度認知障害
スメア異常	腟スメア細胞診陽性	
腹腔内敗血症	敗血症	敗血症
膵尾部腫大	膵腫大	腫瘍
過呼吸状態	過換気症	過換気症
右肺門部原発肺小細胞癌	小細胞肺癌	肺門部小細胞癌
胃癌骨髄癌腫症	骨髄転移	胃癌骨転移
眼乾燥感	ドライアイ	ドライアイ
内側縦束症候群	核間性眼筋麻痺	転移性腫瘍
両足関節炎	足関節炎	足関節炎
夜低血糖	低血糖	高血糖症
左上下肢軽度麻痺	四肢麻痺	四肢麻痺
下肢痙性	痙性対麻痺	下肢麻痺
皮疹状況	発疹	発疹
不適応	適応障害	
陰茎部痛	陰茎部疼痛	陰茎部疼痛
髄外形質細胞腫	骨外性形質細胞腫	
ｍａｌｉｇｎａｎｔ　ｌｙｍｐｈｏｍａ	悪性リンパ腫	
重症ＡＧＨＤ	重症成人成長ホルモン分泌不全	Ａ型肝炎
両白内障	白内障	白内障
腎結石	腎結石症	腎結石症
湿疹性病変	湿疹	湿疹
穿刺部発赤	発赤	発赤
時々背部痛	背部痛	背部痛
手内筋萎縮	筋萎縮症	筋萎縮症
腎機能悪化	腎機能低下	腎障害
尾てい骨骨折	尾骨骨折	尾骨骨折
高度視力障害	視力障害	視力障害
周期性クッシング症候群	クッシング症候群	クッシング症候群
昨夜微熱	微熱	微熱
腓腹筋痙攣	痙攣	痙攣
左肋骨打撲	肋骨部打撲	肋骨部打撲
破壊性脊椎症	脊椎症	脊椎症
胆嚢破裂	胆のう管破裂	動脈瘤
独歩不可	歩行障害	歩行障害
骨破壊進行	関節リウマチ	関節リウマチ
下肢白癬	白癬	白癬
左鼓膜発赤	発赤	発赤
潜在結核	結核	結核
熱苦症状	発熱	発熱
シャイドレジャー症候群	シャイ・ドレーガー症候群	
肺動脈弁閉鎖症	肺動脈弁閉鎖	肺動脈弁閉鎖
脾摘施行Ｃ型肝炎	Ｃ型肝炎	脾腫
胸水セルブロック	胸水貯留	胸水貯留
右肺上葉すりガラス影	胸部異常陰影	胸部異常陰影
Ｆｏｌｌｉｃｕｌａｒ　ｌｙｍｐｈｏｍａ	濾胞性リンパ腫	
腫瘍性ＤＩＣ	線溶亢進	動脈狭窄
右精巣上体炎	精巣上体炎	精巣上体炎
左肘関節亜脱臼	亜脱臼	肘関節脱臼
左聴神経腫瘍	聴神経腫瘍	聴神経腫瘍
左肺感染性嚢胞	肺のう胞	肺のう胞
母体出血	出血	出血
右足趾壊疽	下肢壊疽	壊疽
胃腸障害	急性胃腸障害	胃腸疾患
残遺癌	癌	癌
不安大きく	不安障害	不安障害
